Easting,Northing,Elevation,Uncertainty_Horizontal,Vertical_Horizontal
351780.5699,4161149.456,0,0.1,0.1
351783.3496,4161145.972,0,0.1,0.1
351785.6799,4161142.402,0,0.1,0.1
351787.8314,4161139.337,0,0.1,0.1
351790.7289,4161135.274,0,0.1,0.1
351795.4138,4161128.846,0,0.1,0.1
351798.5215,4161124.871,0,0.1,0.1
351799.3328,4161123.816,0,0.1,0.1
351800.0911,4161122.678,0,0.1,0.1
351800.5607,4161122.216,0,0.1,0.1
351801.5569,4161121.698,0,0.1,0.1
351802.2625,4161121.224,0,0.1,0.1
351804.1907,4161120.726,0,0.1,0.1
351805.8165,4161120.912,0,0.1,0.1
351807.1675,4161121.01,0,0.1,0.1
351808.6929,4161120.894,0,0.1,0.1
351809.8696,4161119.893,0,0.1,0.1
351810.6802,4161119.01,0,0.1,0.1
351811.663,4161117.819,0,0.1,0.1
351813.0424,4161116.218,0,0.1,0.1
351816.2077,4161111.92,0,0.1,0.1
351818.2783,4161109.319,0,0.1,0.1
351821.2774,4161105.306,0,0.1,0.1
351824.1273,4161101.398,0,0.1,0.1
